,instant_x,dteday,season,yr_x,mnth_x,hr,holiday_x,weekday_x,workingday,weathersit,temp,atemp_x,hum,windspeed,casual,registered,cnt,weather_name_x,time_category,instant_y,yr_y,mnth_y,holiday_y,weekday_y,atemp_y,season_name,weather_name_y,mnth_name,demand_category,weekday_name
0,1.0,2011-01-01,1,0.0,1.0,0.0,0.0,6.0,0,1,0.24,0.2879,0.81,0.0,3,13,16,Cerah,Dini Hari,,,,,,,,,,,
1,2.0,2011-01-01,1,0.0,1.0,1.0,0.0,6.0,0,1,0.22,0.2727,0.8,0.0,8,32,40,Cerah,Dini Hari,,,,,,,,,,,
2,3.0,2011-01-01,1,0.0,1.0,2.0,0.0,6.0,0,1,0.22,0.2727,0.8,0.0,5,27,32,Cerah,Dini Hari,,,,,,,,,,,
3,4.0,2011-01-01,1,0.0,1.0,3.0,0.0,6.0,0,1,0.24,0.2879,0.75,0.0,3,10,13,Cerah,Dini Hari,,,,,,,,,,,
4,5.0,2011-01-01,1,0.0,1.0,4.0,0.0,6.0,0,1,0.24,0.2879,0.75,0.0,0,1,1,Cerah,Dini Hari,,,,,,,,,,,
5,6.0,2011-01-01,1,0.0,1.0,5.0,0.0,6.0,0,2,0.24,0.2576,0.75,0.0896,0,1,1,Berkabut,Dini Hari,,,,,,,,,,,
6,7.0,2011-01-01,1,0.0,1.0,6.0,0.0,6.0,0,1,0.22,0.2727,0.8,0.0,2,0,2,Cerah,Dini Hari,,,,,,,,,,,
7,8.0,2011-01-01,1,0.0,1.0,7.0,0.0,6.0,0,1,0.2,0.2576,0.86,0.0,1,2,3,Cerah,Pagi,,,,,,,,,,,
8,9.0,2011-01-01,1,0.0,1.0,8.0,0.0,6.0,0,1,0.24,0.2879,0.75,0.0,1,7,8,Cerah,Pagi,,,,,,,,,,,
9,10.0,2011-01-01,1,0.0,1.0,9.0,0.0,6.0,0,1,0.32,0.3485,0.76,0.0,8,6,14,Cerah,Pagi,,,,,,,,,,,
10,11.0,2011-01-01,1,0.0,1.0,10.0,0.0,6.0,0,1,0.38,0.3939,0.76,0.2537,12,24,36,Cerah,Pagi,,,,,,,,,,,
11,12.0,2011-01-01,1,0.0,1.0,11.0,0.0,6.0,0,1,0.36,0.3333,0.81,0.2836,26,30,56,Cerah,Siang,,,,,,,,,,,
12,13.0,2011-01-01,1,0.0,1.0,12.0,0.0,6.0,0,1,0.42,0.4242,0.77,0.2836,29,55,84,Cerah,Siang,,,,,,,,,,,
13,14.0,2011-01-01,1,0.0,1.0,13.0,0.0,6.0,0,2,0.46,0.4545,0.72,0.2985,47,47,94,Berkabut,Siang,,,,,,,,,,,
14,15.0,2011-01-01,1,0.0,1.0,14.0,0.0,6.0,0,2,0.46,0.4545,0.72,0.2836,35,71,106,Berkabut,Siang,,,,,,,,,,,
15,16.0,2011-01-01,1,0.0,1.0,15.0,0.0,6.0,0,2,0.44,0.4394,0.77,0.2985,40,70,110,Berkabut,Siang,,,,,,,,,,,
16,17.0,2011-01-01,1,0.0,1.0,16.0,0.0,6.0,0,2,0.42,0.4242,0.82,0.2985,41,52,93,Berkabut,Siang,,,,,,,,,,,
17,18.0,2011-01-01,1,0.0,1.0,17.0,0.0,6.0,0,2,0.44,0.4394,0.82,0.2836,15,52,67,Berkabut,Sore,,,,,,,,,,,
18,19.0,2011-01-01,1,0.0,1.0,18.0,0.0,6.0,0,3,0.42,0.4242,0.88,0.2537,9,26,35,Hujan Ringan,Sore,,,,,,,,,,,
19,20.0,2011-01-01,1,0.0,1.0,19.0,0.0,6.0,0,3,0.42,0.4242,0.88,0.2537,6,31,37,Hujan Ringan,Sore,,,,,,,,,,,
20,21.0,2011-01-01,1,0.0,1.0,20.0,0.0,6.0,0,2,0.4,0.4091,0.87,0.2537,11,25,36,Berkabut,Sore,,,,,,,,,,,
21,22.0,2011-01-01,1,0.0,1.0,21.0,0.0,6.0,0,2,0.4,0.4091,0.87,0.194,3,31,34,Berkabut,Malam,,,,,,,,,,,
22,23.0,2011-01-01,1,0.0,1.0,22.0,0.0,6.0,0,2,0.4,0.4091,0.94,0.2239,11,17,28,Berkabut,Malam,,,,,,,,,,,
23,24.0,2011-01-01,1,0.0,1.0,23.0,0.0,6.0,0,2,0.46,0.4545,0.88,0.2985,15,24,39,Berkabut,Malam,,,,,,,,,,,
24,25.0,2011-01-02,1,0.0,1.0,0.0,0.0,0.0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,Berkabut,Dini Hari,,,,,,,,,,,
25,26.0,2011-01-02,1,0.0,1.0,1.0,0.0,0.0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,Berkabut,Dini Hari,,,,,,,,,,,
26,27.0,2011-01-02,1,0.0,1.0,2.0,0.0,0.0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,Berkabut,Dini Hari,,,,,,,,,,,
27,28.0,2011-01-02,1,0.0,1.0,3.0,0.0,0.0,0,2,0.46,0.4545,0.94,0.194,2,4,6,Berkabut,Dini Hari,,,,,,,,,,,
28,29.0,2011-01-02,1,0.0,1.0,4.0,0.0,0.0,0,2,0.46,0.4545,0.94,0.194,2,1,3,Berkabut,Dini Hari,,,,,,,,,,,
29,30.0,2011-01-02,1,0.0,1.0,6.0,0.0,0.0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,Hujan Ringan,Dini Hari,,,,,,,,,,,
30,31.0,2011-01-02,1,0.0,1.0,7.0,0.0,0.0,0,2,0.4,0.4091,0.76,0.194,0,1,1,Berkabut,Pagi,,,,,,,,,,,
31,32.0,2011-01-02,1,0.0,1.0,8.0,0.0,0.0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,Hujan Ringan,Pagi,,,,,,,,,,,
32,33.0,2011-01-02,1,0.0,1.0,9.0,0.0,0.0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,Berkabut,Pagi,,,,,,,,,,,
33,34.0,2011-01-02,1,0.0,1.0,10.0,0.0,0.0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,Berkabut,Pagi,,,,,,,,,,,
34,35.0,2011-01-02,1,0.0,1.0,11.0,0.0,0.0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,Berkabut,Siang,,,,,,,,,,,
35,36.0,2011-01-02,1,0.0,1.0,12.0,0.0,0.0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,Berkabut,Siang,,,,,,,,,,,
36,37.0,2011-01-02,1,0.0,1.0,13.0,0.0,0.0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,Berkabut,Siang,,,,,,,,,,,
37,38.0,2011-01-02,1,0.0,1.0,14.0,0.0,0.0,0,3,0.36,0.3485,0.76,0.194,4,55,59,Hujan Ringan,Siang,,,,,,,,,,,
38,39.0,2011-01-02,1,0.0,1.0,15.0,0.0,0.0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,Hujan Ringan,Siang,,,,,,,,,,,
39,40.0,2011-01-02,1,0.0,1.0,16.0,0.0,0.0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,Hujan Ringan,Siang,,,,,,,,,,,
